market_id,exchange,base_asset_id,quote_asset_id,market_symbol,status,created_at
34,binance,25,2,BQXBTC,break,2026-01-06 08:50:45.802252 +00:00
35,binance,25,1,BQXETH,break,2026-01-06 08:50:45.802252 +00:00
36,binance,26,2,KNCBTC,trading,2026-01-06 08:50:45.802252 +00:00
37,binance,26,1,KNCETH,break,2026-01-06 08:50:45.802252 +00:00
38,binance,27,2,FUNBTC,break,2026-01-06 08:50:45.802252 +00:00
39,binance,27,1,FUNETH,break,2026-01-06 08:50:45.802252 +00:00
40,binance,28,2,SNMBTC,break,2026-01-06 08:50:45.802252 +00:00
41,binance,28,1,SNMETH,break,2026-01-06 08:50:45.802252 +00:00
42,binance,5,1,NEOETH,break,2026-01-06 08:50:45.802252 +00:00
43,binance,29,2,IOTABTC,trading,2026-01-06 08:50:45.802252 +00:00
44,binance,29,1,IOTAETH,trading,2026-01-06 08:50:45.802252 +00:00
45,binance,30,2,LINKBTC,trading,2026-01-06 08:50:45.802252 +00:00
46,binance,30,1,LINKETH,trading,2026-01-06 08:50:45.802252 +00:00
47,binance,31,2,XVGBTC,break,2026-01-06 08:50:45.802252 +00:00
48,binance,31,1,XVGETH,trading,2026-01-06 08:50:45.802252 +00:00
49,binance,32,2,SALTBTC,break,2026-01-06 08:50:45.802252 +00:00
50,binance,32,1,SALTETH,break,2026-01-06 08:50:45.802252 +00:00
51,binance,33,2,MDABTC,break,2026-01-06 08:50:45.802252 +00:00
52,binance,33,1,MDAETH,break,2026-01-06 08:50:45.802252 +00:00
53,binance,34,2,MTLBTC,trading,2026-01-06 08:50:45.802252 +00:00
54,binance,34,1,MTLETH,break,2026-01-06 08:50:45.802252 +00:00
55,binance,35,2,SUBBTC,break,2026-01-06 08:50:45.802252 +00:00
56,binance,35,1,SUBETH,break,2026-01-06 08:50:45.802252 +00:00
57,binance,7,2,EOSBTC,break,2026-01-06 08:50:45.802252 +00:00
58,binance,8,2,SNTBTC,break,2026-01-06 08:50:45.802252 +00:00
59,binance,36,1,ETCETH,trading,2026-01-06 08:50:45.802252 +00:00
60,binance,36,2,ETCBTC,trading,2026-01-06 08:50:45.802252 +00:00
61,binance,37,2,MTHBTC,break,2026-01-06 08:50:45.802252 +00:00
62,binance,37,1,MTHETH,break,2026-01-06 08:50:45.802252 +00:00
63,binance,38,2,ENGBTC,break,2026-01-06 08:50:45.802252 +00:00
64,binance,38,1,ENGETH,break,2026-01-06 08:50:45.802252 +00:00
65,binance,15,2,DNTBTC,break,2026-01-06 08:50:45.802252 +00:00
66,binance,39,2,ZECBTC,trading,2026-01-06 08:50:45.802252 +00:00
67,binance,39,1,ZECETH,trading,2026-01-06 08:50:45.802252 +00:00
68,binance,9,2,BNTBTC,break,2026-01-06 08:50:45.802252 +00:00
69,binance,40,2,ASTBTC,break,2026-01-06 08:50:45.802252 +00:00
70,binance,40,1,ASTETH,break,2026-01-06 08:50:45.802252 +00:00
71,binance,41,2,DASHBTC,trading,2026-01-06 08:50:45.802252 +00:00
72,binance,41,1,DASHETH,trading,2026-01-06 08:50:45.802252 +00:00
73,binance,14,2,OAXBTC,break,2026-01-06 08:50:45.802252 +00:00
74,binance,17,2,ICNBTC,break,2026-01-06 08:50:45.802252 +00:00
75,binance,42,2,BTGBTC,break,2026-01-06 08:50:45.802252 +00:00
76,binance,42,1,BTGETH,break,2026-01-06 08:50:45.802252 +00:00
77,binance,43,2,EVXBTC,break,2026-01-06 08:50:45.802252 +00:00
78,binance,43,1,EVXETH,break,2026-01-06 08:50:45.802252 +00:00
79,binance,44,2,REQBTC,trading,2026-01-06 08:50:45.802252 +00:00
80,binance,44,1,REQETH,break,2026-01-06 08:50:45.802252 +00:00
81,binance,45,2,VIBBTC,break,2026-01-06 08:50:45.802252 +00:00
82,binance,45,1,VIBETH,break,2026-01-06 08:50:45.802252 +00:00
83,binance,13,1,HSRETH,break,2026-01-06 08:50:45.802252 +00:00
84,binance,46,2,TRXBTC,trading,2026-01-06 08:50:45.802252 +00:00
85,binance,46,1,TRXETH,trading,2026-01-06 08:50:45.802252 +00:00
86,binance,47,2,POWRBTC,break,2026-01-06 08:50:45.802252 +00:00
87,binance,47,1,POWRETH,break,2026-01-06 08:50:45.802252 +00:00
88,binance,48,2,ARKBTC,break,2026-01-06 08:50:45.802252 +00:00
89,binance,48,1,ARKETH,break,2026-01-06 08:50:45.802252 +00:00
90,binance,20,1,YOYOETH,break,2026-01-06 08:50:45.802252 +00:00
91,binance,49,2,XRPBTC,trading,2026-01-06 08:50:45.802252 +00:00
92,binance,49,1,XRPETH,trading,2026-01-06 08:50:45.802252 +00:00
93,binance,50,2,MODBTC,break,2026-01-06 08:50:45.802252 +00:00
94,binance,50,1,MODETH,break,2026-01-06 08:50:45.802252 +00:00
95,binance,51,2,ENJBTC,break,2026-01-06 08:50:45.802252 +00:00
96,binance,51,1,ENJETH,break,2026-01-06 08:50:45.802252 +00:00
97,binance,52,2,STORJBTC,trading,2026-01-06 08:50:45.802252 +00:00
98,binance,52,1,STORJETH,break,2026-01-06 08:50:45.802252 +00:00
99,binance,4,12,BNBUSDT,trading,2026-01-06 08:50:45.802252 +00:00
